split	label	supergroup	source	fragment_count	total_bp	mean_length	median_length	p10_length	p25_length	p75_length	p90_length	min_length	max_length
dev	Duplodnaviria	virus	virus	9224	10436528	1131.454	1130	442	691	1560	1825	300	2000
dev	Riboviria	virus	virus	3614	3676924	1017.411	941	374	544	1464	1784	300	1999
dev	SmallRealm	virus	virus	2021	2171322	1074.380	1057	383	602	1532	1803	300	2000
dev	Varidnaviria	virus	virus	1581	1790179	1132.308	1116	453	727	1569	1820	301	1999
dev	archaea	nonvirus	archaea	2728	2999601	1099.560	1080	417	649	1541	1817	300	2000
dev	bacteria	nonvirus	bacteria	2729	3003547	1100.604	1087	417	644	1540	1818	300	2000
dev	fungi	nonvirus	fungi	2725	3005119	1102.796	1087	421	652	1544	1814	300	2000
dev	insect	nonvirus	insect	2732	3004036	1099.574	1087	423	644	1539	1812	300	2000
dev	plasmid	nonvirus	plasmid	2729	3002785	1100.324	1083	420	646	1536	1815	301	2000
dev	protozoa	nonvirus	protozoa	2730	3002038	1099.648	1080	422	655	1537	1821	300	2000
test	Duplodnaviria	virus	virus	9376	10676939	1138.752	1141	457	704	1564	1828	300	2000
test	Riboviria	virus	virus	3471	3517371	1013.360	951	377	554	1444	1779	300	2000
test	SmallRealm	virus	virus	3592	3925079	1092.728	1070	415	642	1524	1809	300	2000
test	Varidnaviria	virus	virus	4053	4631152	1142.648	1133	463	713	1570	1840	300	2000
test	archaea	nonvirus	archaea	3410	3783971	1109.669	1097	435	664	1540	1820	300	2000
test	bacteria	nonvirus	bacteria	3411	3784017	1109.357	1095	426	657	1540	1816	300	2000
test	fungi	nonvirus	fungi	3411	3783405	1109.178	1095	432	664	1535	1815	300	2000
test	insect	nonvirus	insect	3411	3786005	1109.940	1099	430	666	1550	1819	300	2000
test	plasmid	nonvirus	plasmid	3383	3774730	1115.794	1103	443	674	1544	1820	300	2000
test	protozoa	nonvirus	protozoa	3412	3784325	1109.122	1095	430	662	1543	1817	300	2000
train	Duplodnaviria	virus	virus	225955	256528277	1135.307	1128	456	706	1563	1826	300	2000
train	Riboviria	virus	virus	30016	30276835	1008.690	945	374	551	1429	1760	300	2000
train	SmallRealm	virus	virus	29673	31916115	1075.594	1049	411	626	1506	1800	300	2000
train	Varidnaviria	virus	virus	26391	30190581	1143.973	1140	467	718	1571	1827	300	2000
train	archaea	nonvirus	archaea	51975	58144005	1118.692	1105	442	682	1548	1818	300	2000
train	bacteria	nonvirus	bacteria	51963	58142470	1118.921	1105	441	682	1548	1820	300	2000
train	fungi	nonvirus	fungi	51950	58144014	1119.230	1106	442	683	1550	1818	300	2000
train	insect	nonvirus	insect	51960	58143282	1119.001	1105	443	684	1547	1820	300	2000
train	plasmid	nonvirus	plasmid	51976	58143972	1118.670	1106	441	683	1548	1818	300	2000
train	protozoa	nonvirus	protozoa	51981	58140127	1118.488	1104	441	682	1548	1819	300	2000
